such as,様に
Order %1 has not shopping point in pending approval,注文%1は保留中の承認のポイントをお買い物されていません
Successfully reject pending point of order %1,首尾よく注文%1の保留中のポイントを拒否する
加算（仮発行),加算（仮発行）
加算（有効),加算（有効）
無効,無効
減算,減算
注文時,注文時
レビュー,レビュー
アンケート,アンケート
調整,調整
会員登録,会員登録
景品交換,景品交換
値引利用,値引利用
その他,その他
Shopping point,ショッピングポイント
Digital point,デジタルポイント
Pending approval,承認待ちの
Error,エラー
Nestle coin,ネスレコイン
CAMPAIGN,キャンペーン
PURCHASE,購入
PAID,PAID
ADJUSTMENT,調整
This quote is no longer exist,この引用はもはや存在しません
Get shopping point of customer: %1,顧客のショッピングポイントを取得します：%1
Set shopping point for customer: %1,顧客のための設定ショッピングポイント：%1
Get point history for customer: %1,顧客のポイント履歴を取得します：%1
Issued from %1,%1から発行されました
Add Points,ポイントを追加します
Shopping points: %1,ショッピングポイント：%1
Point Used,ポイント使用されます
You have no rewards in revocation.,直近2ヶ月で失効する予定のポイントはありません
On Purchase,購入時に
Tentative points,獲得予定ポイント
Available coins,利用可能なコイン
Could not determine consumer API action,消費者のAPIの動作を決定できませんでした
Call API got error ,呼び出しAPIはエラーが発生しました
Could not determine Magento action,Magentoのアクションを決定できませんでした
Got error while process customer data,プロセス顧客データ中にエラーを得ました
"Unable to save address. Please, check input data.",アドレスを保存することができません 入力データを確認してください
Sorry ! The cart is not exit.,申し訳ありません ！カートは終了ではありません
マシンメンテナンス交換,マシンメンテナンス交換
Machine maintenance order id already exist,機械メンテナンスの注文IDが既に存在しています
The requested Payment Method is not available.,要求された支払い方法は利用できません
Requested product doesn\'t exist.,リクエストされた商品のdoesn \ 'トンが存在します
Could not save quote,見積もりを保存できませんでした
This product is out of stock,この商品は現在在庫切れです
Cannot assign customer to the given cart. The cart belongs to different store.,指定されたカートに顧客を割り当てることはできませんカートは異なるストアに属しています
Cannot assign customer to the given cart. The cart is not anonymous.,指定されたカートに顧客を割り当てることはできませんカートは匿名ではありません
Cannot place order.,順序を置くことはできません
Sory! This value always false.,Sory！この値は常にfalse
Sorry! The region code of shipping address has not been found.,申し訳ありません！配送先住所の地域コードが発見されていません
Sorry! The region code of billing address has not been found.,申し訳ありません！請求先住所の地域コードが見つかっていません
Delivery Type Settings,配信タイプの設定
No Delivery Type Settings,配信タイプの設定はありません
Select Delivery Type,配信タイプを選択します
Delivery Type Selection,配信タイプ選択
Delivery Type  Settings,配信タイプの設定
Holidays Settings,休日の設定
No Holidays Settings,休日の設定はありません
Holidays on Saturday,土曜日の休日
Holidays on Sunday,日曜祝日
 Specific holidays (non-working days),具体的な休日（非稼働日）
"Date in format of yyyy-MM-DD - date separated by semi colon "";""","YYYY-MM-DDの形式で日付 - セミコロンで区切られた日」; """
Holidays Settings Selection,休日設定の選択
Prize Csv file Importing Form,フォームのインポート賞CSVファイル
Customer Prize,カスタマー賞
Add Prize,賞を追加
Save Prize,保存賞
Delete Prize,賞を削除
New Prize,新しい賞
Consumer Id,消費者同上
Please select product sku by clicking on a row,行をクリックすることで製品のSKUを選択してください
Search Product SKU,製品SKUを検索
Attribute Set,セット属性
Visibility,可視性
Prize Form,賞フォーム
Hide Search Product SKU,検索製品SKUを隠します
Product SKU,製品SKU
Winning Date,日付を受賞
Campaign code,キャンペーンコード
Prize Information,賞について
This prize no longer exists.,この賞は存在しません
"Could not delete, data is being used!",データが使用されている削除できませんでした！
The prize has been deleted.,賞品は削除されました
This blacklisted no longer exists.,これはもう存在しないブラックリストに載っていません
Prize,賞
Manage Prize,賞を管理します
Edit Prize,編集賞
Prize has already used in: %1,%1：賞は既に使用されています
The prize has been saved successfully.,賞品は正常に保存されています
Waiting,待っています
Done,終わりました
Done by manual,手動によって行われ
Stock shortage error,在庫不足エラー
Product %1 is not existed,製品の%1が存在していません
Customer %1 is not existed,カスタマー%1が存在していません
